division,team,games,wins,losses,win_pct,ab,hr,hr_pct
D1,Abilene Christian,51,15,36,0.2941,1302,38,0.0292
D1,Akron,51,28,23,0.549,1412,16,0.0113
D1,Alabama,67,45,22,0.6716,1730,56,0.0324
D1,Alabama St.,50,28,22,0.56,1309,25,0.0191
D1,Alcorn,49,17,32,0.3469,1193,16,0.0134
D1,App State,51,23,28,0.451,1348,25,0.0185
D1,Arizona,54,29,25,0.537,1428,65,0.0455
D1,Arizona St.,48,22,26,0.4583,1201,59,0.0491
D1,Ark.-Pine Bluff,49,10,39,0.2041,1136,12,0.0106
D1,Arkansas,59,40,19,0.678,1525,69,0.0452
D1,Army West Point,60,23,37,0.3833,1475,27,0.0183
D1,Auburn,62,43,19,0.6935,1534,64,0.0417
D1,Austin Peay,51,27,24,0.5294,1357,18,0.0133
D1,BYU,52,35,17,0.6731,1346,54,0.0401
D1,Ball St.,53,27,26,0.5094,1387,42,0.0303
D1,Baylor,58,40,18,0.6897,1521,27,0.0178
D1,Bellarmine,49,4,45,0.0816,1139,16,0.014
D1,Belmont,52,28,24,0.5385,1506,23,0.0153
D1,Bethune-Cookman,50,19,31,0.38,1230,7,0.0057
D1,Binghamton,47,29,18,0.617,1241,25,0.0201
D1,Boise St.,49,32,17,0.6531,1255,81,0.0645
D1,Boston College,52,24,28,0.4615,1371,28,0.0204
D1,Boston U.,62,52,10,0.8387,1596,20,0.0125
D1,Bowling Green,50,9,41,0.18,1213,11,0.0091
D1,Bradley,56,15,41,0.2679,1478,29,0.0196
D1,Brown,39,13,26,0.3333,982,12,0.0122
D1,Bryant,47,18,29,0.383,1164,23,0.0198
D1,Bucknell,46,16,30,0.3478,1169,6,0.0051
D1,Buffalo,50,14,36,0.28,1245,30,0.0241
D1,Butler,53,18,35,0.3396,1352,38,0.0281
D1,CSU Bakersfield,50,7,43,0.14,1131,13,0.0115
D1,CSUN,51,27,24,0.5294,1325,20,0.0151
D1,Cal Poly,42,19,23,0.4524,1076,4,0.0037
D1,Cal St. Fullerton,55,34,21,0.6182,1332,23,0.0173
D1,California,57,35,21,0.614,1544,74,0.0479
D1,California Baptist,57,28,29,0.4912,1490,21,0.0141
D1,Campbell,60,42,18,0.7,1516,13,0.0086
D1,Canisius,47,30,16,0.6383,1205,39,0.0324
D1,Central Ark.,57,45,12,0.7895,1474,34,0.0231
D1,Central Conn. St.,37,21,16,0.5676,972,32,0.0329
D1,Central Mich.,55,29,26,0.5273,1432,26,0.0182
D1,Charleston So.,49,22,27,0.449,1197,11,0.0092
D1,Charlotte,58,35,23,0.6034,1483,78,0.0526
D1,Chattanooga,52,25,27,0.4808,1409,33,0.0234
D1,Clemson,61,49,12,0.8033,1560,79,0.0506
D1,Cleveland St.,47,15,32,0.3191,1143,14,0.0122
D1,Coastal Carolina,56,36,20,0.6429,1444,58,0.0402
D1,Col. of Charleston,51,19,32,0.3725,1290,20,0.0155
D1,Colgate,48,17,31,0.3542,1231,23,0.0187
D1,Colorado St.,48,28,20,0.5833,1343,36,0.0268
D1,Columbia,41,17,24,0.4146,1043,28,0.0268
D1,Coppin St.,44,16,28,0.3636,1063,9,0.0085
D1,Cornell,43,17,26,0.3953,1084,34,0.0314
D1,Creighton,53,22,31,0.4151,1410,44,0.0312
D1,Dartmouth,39,14,25,0.359,1042,20,0.0192
D1,Dayton,55,35,20,0.6364,1483,25,0.0169
D1,DePaul,51,19,32,0.3725,1277,33,0.0258
D1,Delaware,49,29,20,0.5918,1287,11,0.0085
D1,Delaware St.,37,6,31,0.1622,831,6,0.0072
D1,Detroit Mercy,38,4,34,0.1053,864,11,0.0127
D1,Drake,51,17,34,0.3333,1399,18,0.0129
D1,Drexel,49,12,37,0.2449,1310,15,0.0115
D1,Duke,60,48,12,0.8,1612,65,0.0403
D1,ETSU,54,17,37,0.3148,1422,20,0.0141
D1,East Carolina,55,27,28,0.4909,1356,20,0.0147
D1,Eastern Ill.,55,34,21,0.6182,1442,39,0.027
D1,Eastern Ky.,52,28,24,0.5385,1360,46,0.0338
D1,Elon,48,22,26,0.4583,1241,29,0.0234
D1,Evansville,54,22,32,0.4074,1392,31,0.0223
D1,FDU,41,20,21,0.4878,1052,22,0.0209
D1,FGCU,58,32,26,0.5517,1498,21,0.014
D1,FIU,51,24,27,0.4706,1306,14,0.0107
D1,Fairfield,47,22,25,0.4681,1201,8,0.0067
D1,Fla. Atlantic,55,35,20,0.6364,1475,26,0.0176
D1,Florida,60,38,22,0.6333,1518,69,0.0455
D1,Florida St.,69,58,11,0.8406,1735,63,0.0363
D1,Fordham,48,20,28,0.4167,1241,29,0.0234
D1,Fresno St.,54,23,31,0.4259,1475,34,0.0231
D1,Furman,52,20,32,0.3846,1445,46,0.0318
D1,Ga. Southern,52,18,34,0.3462,1264,13,0.0103
D1,Gardner-Webb,53,20,33,0.3774,1424,25,0.0176
D1,George Mason,59,35,24,0.5932,1547,27,0.0175
D1,George Washington,45,17,28,0.3778,1112,17,0.0153
D1,Georgetown,49,16,33,0.3265,1304,35,0.0268
D1,Georgia,57,42,15,0.7368,1486,92,0.0619
D1,Georgia St.,54,18,36,0.3333,1367,25,0.0183
D1,Georgia Tech,53,26,27,0.4906,1327,48,0.0362
D1,Grambling,56,28,27,0.5,1433,5,0.0035
D1,Grand Canyon,60,47,13,0.7833,1579,75,0.0475
D1,Green Bay,53,22,31,0.4151,1320,14,0.0106
D1,Hampton,46,15,31,0.3261,1189,10,0.0084
D1,Hartford,32,14,18,0.4375,841,15,0.0178
